id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose
112435993,2300,2300,2300.0,36 months,12.62,77.08,C,C1,,,OWN,10000.0,Not Verified,Current,n,credit_card
112290210,16000,16000,16000.0,60 months,12.62,360.95,C,C1,teacher,10+ years,MORTGAGE,94000.0,Not Verified,Current,n,debt_consolidation
112436985,6025,6025,6025.0,36 months,15.05,209.01,C,C4,Front Office,7 years,MORTGAGE,46350.0,Not Verified,Current,n,home_improvement
112439006,20400,20400,20400.0,36 months,9.44,652.91,B,B1,Manager,10+ years,RENT,44000.0,Source Verified,Current,n,car
112438929,13000,13000,13000.0,36 months,11.99,431.73,B,B5,Paramedic,10+ years,MORTGAGE,85000.0,Source Verified,Current,n,debt_consolidation
112230200,12000,12000,12000.0,36 months,9.44,384.06,B,B1,Teacher,10+ years,MORTGAGE,70000.0,Not Verified,Current,n,debt_consolidation
112210041,6000,6000,6000.0,36 months,10.42,194.79,B,B3,Office Clerk,7 years,MORTGAGE,37107.19,Source Verified,Current,n,medical
112360031,12000,12000,12000.0,60 months,15.05,285.8,C,C4,PROGRAM DIRECTOR,6 years,RENT,69800.0,Not Verified,Current,n,debt_consolidation
112038251,11575,11575,11575.0,36 months,7.35,359.26,A,A4,Solutions Architect,6 years,OWN,153000.0,Not Verified,Fully Paid,n,credit_card
112134207,20400,20400,20400.0,60 months,7.97,413.35,A,A5,asst plant manager,10+ years,MORTGAGE,110000.0,Not Verified,Current,n,major_purchase
112149045,7200,7200,7200.0,36 months,24.85,285.7,E,E3,Pse,2 years,RENT,50000.0,Source Verified,Fully Paid,n,debt_consolidation
112436898,4000,4000,4000.0,36 months,7.97,125.3,A,A5,manager,7 years,MORTGAGE,50000.0,Not Verified,Current,n,debt_consolidation
112156030,10000,10000,10000.0,36 months,9.93,322.35,B,B2,Department Manager,8 years,RENT,55000.0,Not Verified,Current,n,credit_card
112119128,25000,25000,25000.0,60 months,15.05,595.41,C,C4,Supervisor,10+ years,RENT,60000.0,Source Verified,Current,n,credit_card
112441150,20000,20000,20000.0,36 months,10.91,653.93,B,B4,,,MORTGAGE,85000.0,Not Verified,Current,n,debt_consolidation
112438887,15000,15000,15000.0,36 months,7.97,469.84,A,A5,Senior Software Engineer,3 years,MORTGAGE,102000.0,Not Verified,Current,n,debt_consolidation
112390231,20000,20000,20000.0,36 months,9.44,640.1,B,B1,Executive Assistant,< 1 year,RENT,70000.0,Not Verified,Current,n,credit_card
112156817,10000,10000,10000.0,36 months,7.21,309.74,A,A3,Regional Practice Director,7 years,OWN,145000.0,Not Verified,Current,n,credit_card
111927706,9600,9600,9600.0,36 months,7.97,300.7,A,A5,Physician Assistant,< 1 year,OWN,140000.0,Not Verified,Current,n,credit_card
112260236,2400,2400,2400.0,36 months,11.99,79.71,B,B5,Engineer,3 years,RENT,62420.0,Not Verified,Current,n,vacation
112436935,6000,6000,6000.0,36 months,9.44,192.03,B,B1,Business Operations Group,1 year,RENT,36000.0,Not Verified,Current,n,credit_card
112436920,26000,26000,26000.0,36 months,9.93,838.1,B,B2,Dealer,7 years,OWN,57900.0,Not Verified,Current,n,home_improvement
111743276,8000,8000,8000.0,36 months,14.08,273.74,C,C3,Registered Nurse,9 years,RENT,120000.0,Verified,Current,n,vacation
112432991,3000,3000,3000.0,36 months,7.97,93.97,A,A5,Deputy probate register,3 years,RENT,34000.0,Not Verified,Current,n,debt_consolidation
